Comment,Likes
My favourite song ❤❤❤❤❤,1
Who all today,1
Addicted this song,4
❤❤️,1
Who else watching this song on 27/11/2025,0
"பாட்டின் வரிகள் மற்றும் பாடகர்களின் குரல்வளம் அருமை ,",3
I really missed this movie in theatre 😔,1
❤❤❤,0
Melting voice ✨🤗💗,1
Now my fav song🤕😩,1
Sema Song .. ❤❤❤🥰🥰,1
Recently addicted,2
I love love love this song very much and varigalin vadivam azhago azhagu,1
This  song  fully fresh feel ya,4
I like malayalam version,0
❤❤,0
S iam also addicted 24.11.25,0
Super,2
15 lakhs kuduthu udathava vendum om sri kubeyraya namaga,0
2:20 lyriics ne ennum ennum❤,0
"வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

ஆண் : வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி
கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

பெண் மற்றும் குழு : தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

ஆண் : வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

ஆண் : துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
பெண் : கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வெறியேற

ஆண் : நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே
என எனதிதழ் உனதுஉடல் தீண்டுமே
பெண் : ஏ உனை இடையனி என பூண்டுவேண்
நீ இறங்கிட இருதயம் தூண்டுமே

ஆண் : உறங்காதேரேனோ
உயிராய் மாறேனோ
வலிதாங்காயோ பூங்கோதயே!…ஹோ

பெண் மற்றும் குழு : தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட",2
Semma song,0
1:41,0
🫠🫠🫠💙💙💙💙💙💙💙💙,0
"சத்தியன் அவர்களுக்கு மனமார்ந்த நன்றிகள் 

திறமையை மண்ணுக்குள்ளே மூடி வச்சாலும் வெளியூல வந்துதான் ஆகும் அது திறமையின் நியதி",0
Anyone 21:11:2025,0
Felt like crying while hearing this song🥹❤️‍🔥,0
Bgm 🤗🤗🤗,0
"Karnataka, hindi, Delugu, malayalam, this song play But Not Good 
Tamil This Song Lyrics, Voice Sema Super Very Super 👌👌👌💥💥🔥🔥🔥👌",1
💖🎧💖,0
படம் பார்த்த முதல் தினமும் இந்த பாடலை கேட்டுக்கிட்டே இருக்கேன்,2
"வெய்ங்‌குழலிழைந்தாயடீ
என் காதையே!
மென்மயங்கிக் கிடந்தேனடீ
என் போதையே!

வேலென்றறுதிக்கும் விழிகள்
இரண்டும் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கும் துணியால்
என்னை நீ கைதாக்கினாய்

உலகே பொய்யடீ
கனவே மெய்யடீ
அதில் வாழ்வோமா பூங்கொதையே!

தீயென்-றெரியும் காடொன்றில்
கீசாக் கிளிகள் உரவாட
நீண்டெ விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வெய்ங்‌குழலிழைந்தாயடீ
என் காதையே!
மென்மயங்கிக் கிடந்தேனடீ
என் போதையே!

துரும்பென இளைத்திவள் உருமாற
விருந்தாக என்னை பரிமாற
கருங்கனி சுவையில் உயிர் ஊற
துறந்தேனே நாணம் வெறியேற

நீ இன்னுமின்னுமின்னும் வேண்டுமா
என எனதிதழ் உனதுடல் தீண்டுமா
ஏ உனை இடையணியென பூண்டுமா
நீ இறங்கிட இதயம் தூண்டுமா

இறங்காதேரோ
உயிராய் மாறேனோ
வலித்தாங்கயோ பூங்கொதையோ!

தீயென்-றெரியும் காடொன்றில்
கீசாக் கிளிகள் உரவாட
நீண்டெ விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வேலென்றறுதிக்கும் விழிகள்
இரண்டும் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கும் துணியால்
என்னை நீ கைதாக்கினாய்

உலகே பொய்யடீ
கனவே மெய்யடீ
அதில் வாழ்வோமா பூங்கொதையே",2
உங்கள் சிரிப்பு நன்றாக இருந்தது❤😊😊😊,0
Rishab  Shetty song,0
❤❤❤❤,0
❤❤❤❤❤,0
Dedicated to my azhagamma,0
❤,0
20 11 2025❤,1
Who is watching on 19/11/2025 10.40pm,0
0:11,0
0:11,0
❤❤❤🎉,0
1:26 is amazing parts in this song❤❤❤,0
"Tamil is more better than other language 

Especially lyrics and singers",0
0:59 to 1:25 🕯️,0
Tamil version ❤❤❤❤❤❤,0
Mandaika oodite iruku indha song😍😍😍🤌🏻❤️💥,1
Theater feel hitz different😍😍😍✨ loop song🎀🧚🏻‍♀😇,1
❤,0
Therter la intha song nan sariya experience pannala ipo nalla irukku good song,0
"வைரமுத்து எனும் (வரி)ப்புலிக்கு 
பிறந்த குட்டிப்புலியின்
வரிகள் :மதன்கார்க்கி🧡🐯🔥",1
Semma song,0
"Still addicted to this song ❤
What a voice ☺️😍",0
Theatre goosebumps❤️🔥,0
Anyone today❤❤❤,0
Great lyrics ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
Lyrics super ❤,0
Pls release orginal tamil dubbed version tamil subtitles add pls,0
WOW song,0
Heart touching music n voice....song..,0
"I Love this Song. My daily morning routine to hear this song.
Rishab thanks for creating such a song which makes goosebumps everytime we hear it. You deserve an Oscar award. For Kanthara.  I wish you all the best",0
"I Love this Song became my daily morning routine to hear this song.
Rishab thanks for creating such a song which makes goosebumps everytime we hear it. You deserve an Oscar award. For Kanthara.  I wish you all the best",0
ஊருற வீட்டுட் போயிட ஏதும் வராது 😢,0
Super 💖,0
"0:16 this BGM is i travel this pace,i listen it",1
Very amazing beautiful lovely (etc..... )song  ❤❤❤❤❤😊😊😊😊😊,1
1:40ses🥰🥰🥰🥰,0
tamil version of this song is very nice,1
Platinum ✨❤️😌,0
I like this movie and this movie 's song,0
Anyone lestening every day this song😊,10
Love this song so much.that chemistry is a perfect one.more than 50 times here it❤,0
Awesome ❤,0
Very Nice song❤ my favorite now🙌🏻,0
Tamil is always a sweet language   along with nice music and lyrics 💗🤩,1
Pure tamil words ✴️ proud to be a tamilian 🎉,2
Malayalam another level💥,0
0.17,2
தூய தமிழ் வரிகள் பாட்டை மேலும் அழகாக மாற்றிவிட்டது,9
Anyone listening today❤❤🎶🎶,4
Something special about this song,1
I like rishab shetty smile 😊,0
முருகா உன் தமிழ்ச் ஓங்கி ஒலி க்க டும் ☀️ அதி அருணாச்சல..,1
What a songg wowwwwwww❤❤❤❤❤,7
1:27 🤤,0
Could you please release the Karma  song from kantara 1 legend ..,0
Super song ❤❤❤,0
❤,0
